Topic,Count,Name,Representation,Coef
1,24,1_oh_music_im_dont,"oh, music, im, dont, like, cellphone, yes, well, yeah, thats",9632942.064137021
30,6,30_contact_airdrop_screen_poster,"contact, airdrop, screen, poster, send, share, phone, feature, facetime, want",6060392.842547337
24,8,24_pro_camera_new_plus,"pro, camera, new, plus, powerful, specialist, feature, titanium, music, telephoto",4269640.800280332
9,15,9_new_mac_vision_music,"new, mac, vision, music, watch, apps, like, experience, even, ipad",1589619.5038345645
17,11,17_pro_titanium_like_camera,"pro, titanium, like, camera, going, max, im, time, also, get",1362180.2199649557
2,21,2_see_like_one_look,"see, like, one, look, going, pro, case, im, camera, yes",827069.1773348493
29,7,29_screen_foldable_fold_sort,"screen, foldable, fold, sort, technology, right, kind, like, samsung, also",-5334.380099344348
8,16,8_log_camera_app_course,"log, camera, app, course, video, picture, footage, like, exposure, record",-164738.68264332347
3,20,3_phone_would_new_know,"phone, would, new, know, im, year, se, one, pro, think",-257236.80733139845
14,12,14_glass_phone_test_back,"glass, phone, test, back, scratch, bend, level, panel, see, durability",-262442.725381492
7,17,7_tap_turn_setting_battery,"tap, turn, setting, battery, location, app, scroll, settings, apps, back",-396246.4354041854
6,18,6_transfer_backup_data_icloud,"transfer, backup, data, icloud, phone, continue, old, set, tap, new",-650332.4228730301
27,7,27_think_time_everyone_fact,"think, time, everyone, fact, said, feel, color, like, yes, know",-761396.243783876
20,10,20_shortcut_button_action_app,"shortcut, button, action, app, shortcuts, press, phone, tap, email, one",-1126592.6530798322
23,9,23_zoom_million_lens_camera,"zoom, million, lens, camera, take, pro, focal, pixel, time, one",-1195310.6657328063
28,7,28_release_ultra_time_th,"release, ultra, time, th, year, october, coming, design, model, also",-1238420.1983707116
10,15,10_watch_nd_gen_ultra,"watch, nd, gen, ultra, generation, series, time, airpods, second, may",-1260453.8951823816
15,12,15_passcode_recovery_update_itunes,"passcode, recovery, update, itunes, download, reset, enter, click, issue, fix",-1264006.135087444
12,14,12_watch_new_pro_also,"watch, new, pro, also, series, ultra, year, function, chip, use",-1309046.20448308
22,9,22_think_course_increase_year,"think, course, increase, year, price, know, time, also, still, joker",-1322461.169643124
4,20,4_max_pro_ultra_difference,"max, pro, ultra, difference, camera, see, also, video, going, get",-1418233.1907872956
31,6,31_got_weve_going_max,"got, weve, going, max, stand, pro, magic, case, thanks, get",-1427778.3605424778
33,5,33_thunderbolt_usbc_leak_cable,"thunderbolt, usbc, leak, cable, mfi, model, theyre, going, new, pro",-1471913.036047298
13,13,13_drive_ssd_like_external,"drive, ssd, like, external, video, pro, use, one, thing, function",-1481723.8995353
25,8,25_model_regular_pro_models,"model, regular, pro, models, display, get, year, getting, lineup, new",-1485269.7560681147
0,35,0_charging_usb_usbc_cable,"charging, usb, usbc, cable, lightning, type, charger, port, new, like",-1490369.2514967907
26,8,26_color_blue_like_titanium,"color, blue, like, titanium, black, look, kind, think, white, right",-1515365.0050416156
32,6,32_phone_going_se_year,"phone, going, se, year, design, think, lineup, asus, one, new",-1531732.975660384
11,15,11_ultra_model_pro_ram,"ultra, model, pro, ram, release, gigabyte, also, periscope, models, september",-1531986.5907319891
18,11,18_pro_series_generation_hz,"pro, series, generation, hz, performance, also, test, still, screen, max",-1597906.6836097324
21,9,21_performance_consumption_core_process,"performance, consumption, core, process, nm, power, pro, improvement, frequency, architecture",-1615106.2930672225
19,10,19_battery_life_hour_ultra,"battery, life, hour, ultra, test, pro, video, max, charging, know",-1729304.149537898
34,5,34_models_model_ultra_feature,"models, model, ultra, feature, button, usbc, design, port, pro, milliampere",-1761508.6503202112
16,11,16_leak_new_lineup_pro,"leak, new, lineup, pro, ultra, model, going, getting, german, leaks",-1849496.5382196282
5,19,5_temperature_test_problem_heat,"temperature, test, problem, heat, overheating, degrees, degree, heating, phenomenon, issue",-2090652.7528227768
