Topic,Representation,Count,Coef
0,"0.006*""color"" + 0.006*""series"" + 0.005*""watch"" + 0.004*""ultra"" + 0.004*""photo"" + 0.004*""music"" + 0.004*""android"" + 0.004*""performance"" + 0.003*""vision"" + 0.003*""ipad""",25,5584380.5
9,"0.006*""yeah"" + 0.006*""got"" + 0.005*""oh"" + 0.005*""mode"" + 0.004*""music"" + 0.004*""youre"" + 0.004*""battery"" + 0.003*""yes"" + 0.003*""able"" + 0.003*""light""",28,4310484.5
11,"0.017*""difference"" + 0.007*""case"" + 0.006*""color"" + 0.005*""rest"" + 0.005*""battery"" + 0.005*""x"" + 0.004*""tap"" + 0.004*""hand"" + 0.004*""light"" + 0.004*""photo""",10,1652202.6
2,"0.007*""battery"" + 0.007*""tap"" + 0.005*""may"" + 0.005*""music"" + 0.004*""series"" + 0.004*""price"" + 0.004*""titanium"" + 0.004*""case"" + 0.004*""buy"" + 0.004*""color""",50,849969.6
16,"0.005*""music"" + 0.004*""color"" + 0.004*""titanium"" + 0.004*""youre"" + 0.004*""photo"" + 0.004*""battery"" + 0.004*""case"" + 0.004*""lens"" + 0.003*""app"" + 0.003*""action""",56,657966.06
10,"0.013*""music"" + 0.007*""x"" + 0.006*""foreign"" + 0.005*""samsung"" + 0.005*""photo"" + 0.005*""case"" + 0.005*""titanium"" + 0.005*""portrait"" + 0.005*""mode"" + 0.004*""day""",28,539855.44
14,"0.009*""battery"" + 0.007*""watch"" + 0.005*""charging"" + 0.004*""color"" + 0.004*""buy"" + 0.004*""display"" + 0.004*""series"" + 0.004*""lens"" + 0.004*""charge"" + 0.003*""youre""",34,511105.2
1,"0.005*""color"" + 0.005*""usb"" + 0.005*""usbc"" + 0.004*""photo"" + 0.004*""got"" + 0.004*""weve"" + 0.004*""course"" + 0.004*""ultra"" + 0.004*""charging"" + 0.004*""zoom""",18,81776.78
5,"0.005*""display"" + 0.005*""titanium"" + 0.004*""may"" + 0.004*""price"" + 0.004*""performance"" + 0.004*""design"" + 0.004*""core"" + 0.004*""battery"" + 0.004*""series"" + 0.004*""ultra""",42,-429251.78
6,"0.008*""ultra"" + 0.008*""battery"" + 0.006*""buy"" + 0.005*""test"" + 0.005*""x"" + 0.004*""life"" + 0.004*""performance"" + 0.004*""music"" + 0.003*""lens"" + 0.003*""phones""",18,-745995.1
15,"0.005*""lens"" + 0.005*""feel"" + 0.005*""color"" + 0.004*""may"" + 0.004*""difference"" + 0.004*""log"" + 0.004*""buy"" + 0.004*""yes"" + 0.003*""light"" + 0.003*""oh""",11,-802073.0
18,"0.009*""tap"" + 0.007*""youre"" + 0.006*""case"" + 0.006*""turn"" + 0.004*""course"" + 0.004*""k"" + 0.004*""theyre"" + 0.004*""bit"" + 0.004*""photo"" + 0.003*""setting""",20,-802236.5
3,"0.006*""ultra"" + 0.004*""watch"" + 0.004*""color"" + 0.004*""photo"" + 0.004*""mode"" + 0.003*""x"" + 0.003*""series"" + 0.003*""usbc"" + 0.003*""battery"" + 0.003*""could""",59,-806634.0
19,"0.015*""ultra"" + 0.006*""zoom"" + 0.006*""case"" + 0.005*""titanium"" + 0.005*""youre"" + 0.005*""color"" + 0.005*""watch"" + 0.005*""usbc"" + 0.004*""could"" + 0.004*""cable""",51,-1162983.4
12,"0.011*""ultra"" + 0.007*""battery"" + 0.005*""lens"" + 0.004*""youre"" + 0.004*""titanium"" + 0.004*""zoom"" + 0.004*""display"" + 0.004*""talk"" + 0.004*""charging"" + 0.004*""case""",41,-1300888.0
4,"0.006*""watch"" + 0.005*""ultra"" + 0.005*""course"" + 0.004*""lens"" + 0.004*""chip"" + 0.004*""color"" + 0.004*""difference"" + 0.004*""generation"" + 0.004*""battery"" + 0.004*""usb""",66,-1399882.8
13,"0.007*""price"" + 0.006*""may"" + 0.005*""chip"" + 0.005*""watch"" + 0.004*""ultra"" + 0.004*""news"" + 0.004*""color"" + 0.004*""lens"" + 0.004*""battery"" + 0.004*""usb""",47,-1477646.6
7,"0.009*""series"" + 0.006*""ultra"" + 0.005*""color"" + 0.005*""x"" + 0.005*""display"" + 0.004*""titanium"" + 0.004*""case"" + 0.004*""watch"" + 0.004*""buy"" + 0.004*""difference""",43,-1540369.5
17,"0.011*""ultra"" + 0.008*""tap"" + 0.007*""id"" + 0.006*""update"" + 0.006*""youre"" + 0.005*""passcode"" + 0.004*""series"" + 0.003*""switch"" + 0.003*""data"" + 0.003*""usbc""",11,-1619264.2
8,"0.009*""lens"" + 0.008*""performance"" + 0.008*""photo"" + 0.006*""difference"" + 0.006*""may"" + 0.006*""x"" + 0.005*""mode"" + 0.005*""test"" + 0.005*""series"" + 0.004*""feel""",38,-2100515.8
